title,authors,year,abstract,keywords,doi,url,venue,type,source
Applications and Challenges of Generative Artificial Intelligence Enabling Critical Thinking Development in International Undergraduate Education,"Yan Lin, Lu Zhang",2025,"In today's fast-changing information-exploding era, developing students' critical thinking has become one of the most important tasks in international undergraduate education. Generative AI can simulate human creativity and imagination, providing brand-...",,10.1145/3722237.3722399,https://dl.acm.org/doi/10.1145/3722237.3722399,ICAIE '24: Proceedings of the 2024 3rd International Conference on Artificial Intelligence and EducationPages 944–949https://doi.org/10.1145/3722237.3722399,article,ACM
EmoEden: Applying Generative Artificial Intelligence to Emotional Learning for Children with High-Function Autism,"Yilin Tang, Liuqing Chen, Ziyu Chen, Wenkai Chen, Yu Cai, Yao Du, + 2",2024,"Children with high-functioning autism (HFA) often face challenges in emotional recognition and expression, leading to emotional distress and social difficulties. Conversational agents developed for HFA children in previous studies show limitations in ...",,10.1145/3613904.3642899,https://dl.acm.org/doi/10.1145/3613904.3642899,"CHI '24: Proceedings of the 2024 CHI Conference on Human Factors in Computing SystemsArticle No.: 1001, Pages 1–20https://doi.org/10.1145/3613904.3642899",article,ACM
Multimodal Emotion Analysis of Online Product Marketing Information in Social Interaction and Internet Behavior Based on Generative Artificial Intelligence,"Lu Ding, Xiake Li, Naifeng Liang, Wei Pi",2025,"With the proliferation of multimodal data such as text, images and videos on social networks, it is particularly important to extract valuable information from these diverse data sources. In this study, a multimodal sentiment analysis framework based on ...",,10.1145/3745238.3745511,https://dl.acm.org/doi/10.1145/3745238.3745511,DEAI '25: Proceedings of the 2nd Guangdong-Hong Kong-Macao Greater Bay Area International Conference on Digital Economy and Artificial IntelligencePages 1743–1752https://doi.org/10.1145/3745238.3745511,article,ACM
Design and Implementation of CDIO Teaching Empowered by Generative Artificial Intelligence: Taking the Course of “Post-Production Visual Effects” as an Example,"Limeng Wang, Pingzhang Gou, Tianzhiwen Teng",2025,"The CDIO model emphasizes project-based learning, mainly to cultivate students’ ability to integrate knowledge and apply innovative practices. It helps achieve the teaching objectives of practical courses in a particular way. Today, generative artificial ...",,10.1145/3756580.3756652,https://dl.acm.org/doi/10.1145/3756580.3756652,"ICEKIM '25: Proceedings of the 2025 6th International Conference on Education, Knowledge and Information ManagementPages 435–439https://doi.org/10.1145/3756580.3756652",article,ACM
The Current Status and Trends of Research on the Impact of Generative Artificial Intelligence on Employment in China,"Wei Ji, Jian Sun, Biaoxin Chen, Chuangli Luo",2024,"With the increasing expansion of technology application scenarios, generative artificial intelligence is set to significantly boost global productivity and profoundly impact China's employment market. This article employs 218 academic papers from 2013 to ...",,10.1145/3675417.3675574,https://dl.acm.org/doi/10.1145/3675417.3675574,DEAI '24: Proceedings of the 2024 Guangdong-Hong Kong-Macao Greater Bay Area International Conference on Digital Economy and Artificial IntelligencePages 948–953https://doi.org/10.1145/3675417.3675574,article,ACM
Introduction to the research on the path of generative artificial intelligence technology ChatGPT to help teachers' professional development,"Wenqian Qi, Mengmeng Liu, Na Li, Chenfei Qu, Shaoqing Wang, + 3",2024,"This research explores the application of ChatGPT, a generative artificial intelligence technology, in the field of education. ChatGPT, short for ""generative pre-training,"" continuously evolves and adapts through user feedback, facilitating authentic ...",,10.1145/3700297.3700395,https://dl.acm.org/doi/10.1145/3700297.3700395,ISAIE '24: Proceedings of the 2024 International Symposium on Artificial Intelligence for EducationPages 568–573https://doi.org/10.1145/3700297.3700395,article,ACM
The Research on the Influencing Factors of College Students'Dishonest Behaviors in Online Learning in the background of Generative Artificial Intelligence,"Ningning Song, Fengwu Han, Pengyang He",2025,"With the popularity of online learning and the development of generative artificial intelligence technology, a significant scale of dishonest behaviors have emerged in the online learning environment, directly harming the construction and development of ...",,10.1145/3711403.3711408,https://dl.acm.org/doi/10.1145/3711403.3711408,ICETM '24: Proceedings of the 2024 7th International Conference on Educational Technology ManagementPages 28–35https://doi.org/10.1145/3711403.3711408,article,ACM
Path Exploration of Generative Artificial Intelligence Enabling the Construction of Civic Education in Primary and Secondary Schools,"Qishan Zhang, Yuxin Luo, Wenxuan Ren, Syamsul Nor Azlan Mohamad, + 2",2024,"This study focuses on the application of generative artificial intelligence in the resource library for moral and civic education in primary and secondary schools, exploring its integration, evaluation, and development pathways for educational materials. ...",,10.1145/3700297.3700308,https://dl.acm.org/doi/10.1145/3700297.3700308,ISAIE '24: Proceedings of the 2024 International Symposium on Artificial Intelligence for EducationPages 59–64https://doi.org/10.1145/3700297.3700308,article,ACM
Generative Artificial Intelligence in Learning Analytics: Contextualising Opportunities and Challenges through the Learning Analytics Cycle,"Lixiang Yan, Roberto Martinez-Maldonado, Dragan Gasevic",2024,"Generative artificial intelligence (GenAI), exemplified by ChatGPT, Midjourney, and other state-of-the-art large language models and diffusion models, holds significant potential for transforming education and enhancing human productivity. While the ...",,10.1145/3636555.3636856,https://dl.acm.org/doi/10.1145/3636555.3636856,LAK '24: Proceedings of the 14th Learning Analytics and Knowledge ConferencePages 101–111https://doi.org/10.1145/3636555.3636856,article,ACM
A Path Study of Generative Artificial Intelligence Enabling Online Education Platforms in Colleges and Universities,"Xiling Wang, Lei Lei",2024,"With the development of Internet and AI technologies, online education platforms in colleges and universities face challenges in personalized teaching and teacher-student interaction. Based on the technical characteristics of generative AI, combined with ...",,10.1145/3700297.3700354,https://dl.acm.org/doi/10.1145/3700297.3700354,ISAIE '24: Proceedings of the 2024 International Symposium on Artificial Intelligence for EducationPages 332–338https://doi.org/10.1145/3700297.3700354,article,ACM
